Subject,Start Date,All Day Event,Description
"Day 47: Numbers 22-24",02/16/2016,true,"READ: Numbers 22-24 PRAY: Psalms 47 http://bible.sograce.org/#/47/1"
"Day 48: Numbers 25-27",02/17/2016,true,"READ: Numbers 25-27 PRAY: Psalms 48 http://bible.sograce.org/#/48/1"
"Day 49: Numbers 28-30",02/18/2016,true,"READ: Numbers 28-30 PRAY: Psalms 49 http://bible.sograce.org/#/49/1"
"Day 50: Numbers 31-32",02/19/2016,true,"READ: Numbers 31-32 PRAY: Psalms 50 http://bible.sograce.org/#/50/1"
"Day 51: Numbers 33-34",02/20/2016,true,"READ: Numbers 33-34 PRAY: Psalms 51 http://bible.sograce.org/#/51/1"
"Day 52: Numbers 35-36",02/21/2016,true,"READ: Numbers 35-36 PRAY: Psalms 52 http://bible.sograce.org/#/52/1"
"Day 53: Deuteronomy 1-3",02/22/2016,true,"READ: Deuteronomy 1-3 PRAY: Psalms 53 WATCH: Deuteronomy http://bible.sograce.org/#/53/1"
"Day 54: Deuteronomy 4-6",02/23/2016,true,"READ: Deuteronomy 4-6 PRAY: Psalms 54 http://bible.sograce.org/#/54/1"
"Day 55: Deuteronomy 7-9",02/24/2016,true,"READ: Deuteronomy 7-9 PRAY: Psalms 55 http://bible.sograce.org/#/55/1"
"Day 56: Deuteronomy 10-12",02/25/2016,true,"READ: Deuteronomy 10-12 PRAY: Psalms 56 http://bible.sograce.org/#/56/1"
"Day 57: Deuteronomy 13-14",02/26/2016,true,"READ: Deuteronomy 13-14 PRAY: Psalms 57 http://bible.sograce.org/#/57/1"
"Day 58: Deuteronomy 15-16",02/27/2016,true,"READ: Deuteronomy 15-16 PRAY: Psalms 58 http://bible.sograce.org/#/58/1"
"Day 59: Deuteronomy 17-20",02/28/2016,true,"READ: Deuteronomy 17-20 PRAY: Psalms 59 http://bible.sograce.org/#/59/1"
"Day 60: Deuteronomy 21-23",02/29/2016,true,"READ: Deuteronomy 21-23 PRAY: Psalms 60 http://bible.sograce.org/#/60/1"
"Day 61: Deuteronomy 24-27",03/01/2016,true,"READ: Deuteronomy 24-27 PRAY: Psalms 61 http://bible.sograce.org/#/61/1"
"Day 62: Deuteronomy 28-29",03/02/2016,true,"READ: Deuteronomy 28-29 PRAY: Psalms 62 http://bible.sograce.org/#/62/1"
"Day 63: Deuteronomy 30-31",03/03/2016,true,"READ: Deuteronomy 30-31 PRAY: Psalms 63 http://bible.sograce.org/#/63/1"
"Day 64: Deuteronomy 32-34",03/04/2016,true,"READ: Deuteronomy 32-34 PRAY: Psalms 64 http://bible.sograce.org/#/64/1"
"Day 65: Joshua 1-4",03/05/2016,true,"READ: Joshua 1-4 PRAY: Psalms 65 http://bible.sograce.org/#/65/1"
"Day 66: Joshua 5-8",03/06/2016,true,"READ: Joshua 5-8 PRAY: Psalms 66 http://bible.sograce.org/#/66/1"
"Day 67: Joshua 9-12",03/07/2016,true,"READ: Joshua 9-12 PRAY: Psalms 67 http://bible.sograce.org/#/67/1"
"Day 68: Joshua 13-21",03/08/2016,true,"READ: Joshua 13-21 PRAY: Psalms 68 http://bible.sograce.org/#/68/1"
"Day 69: Joshua 22-24",03/09/2016,true,"READ: Joshua 22-24 PRAY: Psalms 69 http://bible.sograce.org/#/69/1"
"Day 70: Judges 1-3",03/10/2016,true,"READ: Judges 1-3 PRAY: Psalms 70 http://bible.sograce.org/#/70/1"
"Day 71: Judges 4-5",03/11/2016,true,"READ: Judges 4-5 PRAY: Psalms 717 http://bible.sograce.org/#/71/1"
"Day 72: Judges 6-8",03/12/2016,true,"READ: Judges 6-8 PRAY: Psalms 72 http://bible.sograce.org/#/72/1"
"Day 73: Judges 9-12",03/13/2016,true,"READ: Judges 9-12 PRAY: Psalms 73 http://bible.sograce.org/#/73/1"
"Day 74: Judges 13-15",03/14/2016,true,"READ: Judges 13-15 PRAY: Psalms 74 http://bible.sograce.org/#/74/1"
"Day 75: Judges 16-18",03/15/2016,true,"READ: Judges 16-18 PRAY: Psalms 75 http://bible.sograce.org/#/75/1"
